step,idx,alive,s,v,gap_f,gap_b
6,2,1,10.600000,1.000000,5.000000,5.000000
6,3,1,15.600000,1.000000,5.000000,5.000000
6,4,1,20.600000,1.000000,5.000000,5.000000
6,5,1,25.600000,1.000000,5.000000,5.000000
6,6,1,30.600000,1.000000,5.000000,5.000000
6,7,1,35.600000,1.000000,5.000000,5.000000
6,8,1,40.600000,1.000000,5.000000,5.000000
6,9,1,45.600000,1.000000,5.000000,5.000000
6,10,1,50.600000,1.000000,5.000000,5.000000
6,11,1,55.600000,1.000000,5.000000,5.000000
6,12,1,60.600000,1.000000,5.000000,5.000000
6,13,1,65.600000,1.000000,5.000000,5.000000
6,14,1,70.600000,1.000000,5.000000,5.000000
6,15,1,75.600000,1.000000,5.000000,5.000000
6,16,1,80.600000,1.000000,5.000000,5.000000
6,17,1,85.600000,1.000000,5.000000,5.000000
6,18,1,90.600000,1.000000,5.000000,5.000000
6,19,1,95.600000,1.000000,5.000000,5.000000
7,0,1,0.700000,1.000000,5.000000,5.000000
7,1,1,5.700000,1.000000,5.000000,5.000000
7,2,1,10.700000,1.000000,5.000000,5.000000
7,3,1,15.700000,1.000000,5.000000,5.000000
7,4,1,20.700000,1.000000,5.000000,5.000000
7,5,1,25.700000,1.000000,5.000000,5.000000
7,6,1,30.700000,1.000000,5.000000,5.000000
7,7,1,35.700000,1.000000,5.000000,5.000000
7,8,1,40.700000,1.000000,5.000000,5.000000
7,9,1,45.700000,1.000000,5.000000,5.000000
7,10,1,50.700000,1.000000,5.000000,5.000000
7,11,1,55.700000,1.000000,5.000000,5.000000
7,12,1,60.700000,1.000000,5.000000,5.000000
7,13,1,65.700000,1.000000,5.000000,5.000000
7,14,1,70.700000,1.000000,5.000000,5.000000
7,15,1,75.700000,1.000000,5.000000,5.000000
7,16,1,80.700000,1.000000,5.000000,5.000000
7,17,1,85.700000,1.000000,5.000000,5.000000
7,18,1,90.700000,1.000000,5.000000,5.000000
7,19,1,95.700000,1.000000,5.000000,5.000000
8,0,1,0.800000,1.000000,5.000000,5.000000
