step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.025000;1.000000;1.500000;0.108972;5.000000;5.000000;5.000000;0.000000
2;20;1.027000;1.000000;1.500000;0.108678;4.950000;5.050000;5.000000;0.015811
3;20;1.028920;1.000000;1.500000;0.108679;4.902000;5.098000;5.000000;0.030997
4;20;1.030766;1.000000;1.500000;0.108906;4.855840;5.144160;5.000000;0.045624
5;20;1.032545;1.000000;1.500000;0.109303;4.811376;5.188624;5.000000;0.059751
6;20;1.034261;1.000000;1.500000;0.109827;4.768478;5.231522;5.000000;0.073429
7;20;1.035919;1.000000;1.500000;0.110446;4.727029;5.272971;5.000000;0.086701
8;20;1.037523;1.000000;1.500000;0.111131;4.686924;5.313076;5.000000;0.099607
9;20;1.039077;1.000000;1.500000;0.111863;4.648065;5.351935;5.000000;0.112179
10;20;1.040585;1.000000;1.500000;0.112625;4.610367;5.389633;5.000000;0.124447
11;20;1.042050;1.000000;1.500000;0.113405;4.573750;5.426250;5.000000;0.136436
12;20;1.043474;1.000000;1.500000;0.114195;4.538143;5.461857;5.000000;0.148171
13;20;1.044861;1.000000;1.500000;0.114986;4.503480;5.496520;5.000000;0.159670
14;20;1.046212;1.000000;1.500000;0.115774;4.469701;5.530299;5.000000;0.170951
15;20;1.047530;1.000000;1.500000;0.116554;4.436751;5.563249;5.000000;0.182031
16;20;1.048817;1.000000;1.500000;0.117323;4.404581;5.595419;5.000000;0.192924
17;20;1.050074;1.000000;1.500000;0.118079;4.373146;5.626854;5.000000;0.203643
18;20;1.051304;1.000000;1.500000;0.118821;4.342402;5.657598;5.000000;0.214198
19;20;1.052508;1.000000;1.500000;0.119547;4.312311;5.687689;5.000000;0.224601
20;20;1.053686;1.000000;1.500000;0.120258;4.282839;5.717161;5.000000;0.234860
21;20;1.054842;1.000000;1.500000;0.120951;4.253951;5.746049;5.000000;0.244984
