step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
2;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
3;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
4;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
5;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
6;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
7;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
8;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
9;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
10;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
11;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
12;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
13;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
14;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
15;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
16;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
17;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
18;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
19;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
20;19;0.978947;0.100000;1.500000;0.235258;5.000000;10.000000;5.263158;1.116484
21;19;0.983105;0.170200;1.500000;0.221720;5.000000;9.860000;5.263158;1.083717
22;19;0.987055;0.234816;1.500000;0.209706;5.000000;9.727020;5.263158;1.053011
23;19;0.990812;0.294347;1.500000;0.199078;5.000000;9.600502;5.263158;1.024161
24;19;0.994392;0.349243;1.500000;0.189705;5.000000;9.479936;5.263158;0.996987
25;19;0.997809;0.399910;1.500000;0.181469;5.000000;9.364861;5.263158;0.971327
26;19;1.001074;0.446718;1.500000;0.174260;5.000000;9.254852;5.263158;0.947039
27;19;1.004199;0.490002;1.500000;0.167978;5.000000;9.149523;5.263158;0.923997
28;19;1.007194;0.530063;1.500000;0.162529;5.000000;9.048524;5.263158;0.902088
29;19;1.010069;0.567176;1.500000;0.157826;5.000000;8.951530;5.263158;0.881214
30;19;1.012833;0.601591;1.500000;0.153789;5.000000;8.858247;5.263158;0.861284
31;19;1.015493;0.633533;1.500000;0.150346;5.000000;8.768406;5.263158;0.842221
32;19;1.018057;0.663209;1.500000;0.147428;5.000000;8.681760;5.263158;0.823953
33;19;1.020531;0.690804;1.500000;0.144975;5.000000;8.598081;5.263158;0.806419
34;19;1.022922;0.716490;1.500000;0.142932;5.000000;8.517161;5.263158;0.789560
35;19;1.025234;0.740420;1.500000;0.141249;5.000000;8.438810;5.263158;0.773328
36;19;1.027474;0.762735;1.500000;0.139880;5.000000;8.362852;5.263158;0.757677
37;19;1.029647;0.783564;1.500000;0.138786;5.000000;8.289126;5.263158;0.742567
38;19;1.031755;0.803024;1.500000;0.137932;5.000000;8.217482;5.263158;0.727961
39;19;1.033805;0.821222;1.500000;0.137285;5.000000;8.147784;5.263158;0.713827
40;19;1.035798;0.838254;1.500000;0.136819;5.000000;8.079907;5.263158;0.700135
41;19;1.037740;0.854211;1.500000;0.136509;5.000000;8.013732;5.263158;0.686860
42;19;1.039632;0.869173;1.500000;0.136333;5.000000;7.949153;5.263158;0.673977
43;19;1.041479;0.883216;1.500000;0.136274;5.000000;7.886070;5.263158;0.661466
44;19;1.043282;0.896407;1.500000;0.136314;5.000000;7.824392;5.263158;0.649306
45;19;1.045044;0.908810;1.500000;0.136440;5.000000;7.764033;5.263158;0.637482
46;19;1.046769;0.920480;1.500000;0.136639;5.000000;7.704914;5.263158;0.625976
47;19;1.048457;0.931472;1.500000;0.136901;5.000000;7.646962;5.263158;0.614777
48;19;1.050110;0.936392;1.500000;0.137217;5.000000;7.590109;5.263158;0.603870
49;19;1.051732;0.938778;1.500000;0.137578;5.000000;7.534292;5.263158;0.593245
50;19;1.053323;0.941173;1.500000;0.137977;5.000000;7.479453;5.263158;0.582892
51;19;1.054885;0.943570;1.500000;0.138409;5.000000;7.425537;5.263158;0.572802
52;19;1.056420;0.945961;1.500000;0.138868;5.000000;7.372493;5.263158;0.562967
53;19;1.057930;0.948339;1.500000;0.139350;5.000000;7.320274;5.263158;0.553381
54;19;1.059414;0.950700;1.500000;0.139850;5.000001;7.268835;5.263158;0.544036
55;19;1.060876;0.953038;1.500000;0.140366;5.000001;7.218136;5.263158;0.534928
56;19;1.062315;0.955350;1.500000;0.140895;5.000001;7.168138;5.263158;0.526053
57;19;1.063733;0.957633;1.500000;0.141433;5.000001;7.118805;5.263158;0.517406
58;19;1.065132;0.959884;1.500000;0.141979;5.000002;7.070104;5.263158;0.508984
59;19;1.066511;0.962100;1.500000;0.142531;5.000002;7.022002;5.263158;0.500784
60;19;1.067872;0.964280;1.500000;0.143086;5.000003;6.974471;5.263158;0.492805
61;19;1.069216;0.966422;1.500000;0.143645;5.000003;6.927482;5.263158;0.485044
62;19;1.076197;0.968526;1.500000;0.158150;5.000004;6.881010;5.263158;0.477501
63;19;1.077643;0.970589;1.500000;0.158641;5.000005;6.835030;5.263158;0.469716
64;19;1.079068;0.972612;1.500000;0.159138;5.000006;6.789520;5.263158;0.462160
65;19;1.080471;0.974594;1.500000;0.159639;5.000008;6.744457;5.263158;0.454829
66;19;1.081855;0.976535;1.500000;0.160140;5.000009;6.699821;5.263158;0.447724
67;19;1.083220;0.978435;1.500000;0.160641;5.000011;6.655594;5.263158;0.440842
68;19;1.084566;0.980294;1.500000;0.161139;5.000014;6.611757;5.263158;0.434185
69;19;1.085896;0.982112;1.500000;0.161634;5.000017;6.568292;5.263158;0.427754
70;19;1.087210;0.983889;1.500000;0.162125;5.000020;6.525185;5.263158;0.421548
71;19;1.088508;0.985626;1.500000;0.162611;5.000024;6.482420;5.263158;0.415570
72;19;1.089791;0.987323;1.500000;0.163091;5.000029;6.439982;5.263158;0.409821
73;19;1.091060;0.987965;1.500000;0.163566;5.000034;6.397858;5.263158;0.404304
74;19;1.092316;0.988367;1.500000;0.164034;5.000039;6.356036;5.263158;0.399020
75;19;1.093559;0.988773;1.500000;0.164496;5.000043;6.314502;5.263158;0.393973
76;19;1.094789;0.989181;1.500000;0.164952;5.000048;6.273245;5.263158;0.389164
77;19;1.096008;0.989590;1.500000;0.165401;5.000053;6.232255;5.263158;0.384596
78;19;1.097216;0.990001;1.500000;0.165844;5.000058;6.191520;5.263158;0.380273
79;19;1.098413;0.990413;1.500000;0.166280;5.000064;6.151032;5.263158;0.376196
80;19;1.099599;0.990825;1.500000;0.166710;5.000071;6.110780;5.263158;0.372368
