step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
2;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
3;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
4;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
5;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
6;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
7;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
8;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
9;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
10;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
11;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
12;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
13;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
14;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
15;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
16;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
17;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
18;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
19;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
20;19;0.994737;0.400000;1.500000;0.179102;5.000000;10.000000;5.263158;1.116484
21;19;0.997947;0.443200;1.500000;0.171774;5.000000;9.890000;5.263158;1.090688
22;19;1.001028;0.483362;1.500000;0.165342;5.000000;9.784320;5.263158;1.066145
23;19;1.003989;0.520721;1.500000;0.159726;5.000000;9.682656;5.263158;1.042749
24;19;1.006837;0.555496;1.500000;0.154851;5.000000;9.584728;5.263158;1.020404
25;19;1.009581;0.587885;1.500000;0.150646;5.000000;9.490278;5.263158;0.999023
26;19;1.012227;0.618071;1.500000;0.147045;5.000000;9.399066;5.263158;0.978527
27;19;1.014783;0.646221;1.500000;0.143986;5.000000;9.310874;5.263158;0.958848
28;19;1.017253;0.672488;1.500000;0.141413;5.000000;9.225496;5.263158;0.939921
29;19;1.019644;0.697015;1.500000;0.139272;5.000000;9.142745;5.263158;0.921690
30;19;1.021961;0.719931;1.500000;0.137515;5.000000;9.062446;5.263158;0.904102
31;19;1.024208;0.741356;1.500000;0.136097;5.000000;8.984439;5.263158;0.887112
32;19;1.026391;0.761398;1.500000;0.134977;5.000000;8.908575;5.263158;0.870676
33;19;1.028512;0.780160;1.500000;0.134119;5.000000;8.834715;5.263158;0.854757
34;19;1.030577;0.797734;1.500000;0.133489;5.000000;8.762731;5.263158;0.839319
35;19;1.032588;0.814206;1.500000;0.133060;5.000000;8.692504;5.263158;0.824331
36;19;1.034549;0.829655;1.500000;0.132804;5.000000;8.623925;5.263158;0.809764
37;19;1.036462;0.844153;1.500000;0.132698;5.000000;8.556890;5.263158;0.795593
38;19;1.038332;0.857768;1.500000;0.132723;5.000000;8.491306;5.263158;0.781793
39;19;1.040160;0.870561;1.500000;0.132859;5.000000;8.427082;5.263158;0.768343
40;19;1.041948;0.882590;1.500000;0.133092;5.000000;8.364139;5.263158;0.755223
41;19;1.043700;0.893908;1.500000;0.133408;5.000000;8.302398;5.263158;0.742416
42;19;1.045417;0.904562;1.500000;0.133794;5.000000;8.241788;5.263158;0.729905
43;19;1.047101;0.914598;1.500000;0.134240;5.000000;8.182245;5.263158;0.717675
44;19;1.048754;0.924058;1.500000;0.134736;5.000000;8.123704;5.263158;0.705714
45;19;1.050378;0.932980;1.500000;0.135276;5.000000;8.066110;5.263158;0.694008
46;19;1.051975;0.941401;1.500000;0.135853;5.000000;8.009408;5.263158;0.682547
47;19;1.053545;0.949352;1.500000;0.136459;5.000000;7.953548;5.263158;0.671321
48;19;1.055091;0.956865;1.500000;0.137090;5.000000;7.898483;5.263158;0.660320
49;19;1.056614;0.963968;1.500000;0.137742;5.000000;7.844170;5.263158;0.649537
50;19;1.058114;0.970687;1.500000;0.138410;5.000000;7.790567;5.263158;0.638964
51;19;1.059594;0.972005;1.500000;0.139092;5.000000;7.737635;5.263158;0.628595
52;19;1.061054;0.973164;1.500000;0.139784;5.000000;7.685340;5.263158;0.618423
53;19;1.062495;0.974323;1.500000;0.140484;5.000000;7.633647;5.263158;0.608443
54;19;1.063918;0.975480;1.500000;0.141189;5.000000;7.582525;5.263158;0.598652
55;19;1.065324;0.976631;1.500000;0.141898;5.000000;7.531944;5.263158;0.589044
56;19;1.066714;0.977774;1.500000;0.142610;5.000000;7.481876;5.263158;0.579616
57;19;1.068089;0.978907;1.500000;0.143322;5.000000;7.432296;5.263158;0.570366
58;19;1.069450;0.980027;1.500000;0.144034;5.000001;7.383179;5.263158;0.561291
59;19;1.070797;0.981135;1.500000;0.144745;5.000001;7.334501;5.263158;0.552389
60;19;1.072130;0.982227;1.500000;0.145453;5.000001;7.286242;5.263158;0.543658
61;19;1.073451;0.983304;1.500000;0.146158;5.000001;7.238380;5.263158;0.535098
62;19;1.074760;0.984364;1.500000;0.146859;5.000001;7.190897;5.263158;0.526708
63;19;1.076058;0.985406;1.500000;0.147556;5.000001;7.143774;5.263158;0.518487
64;19;1.077344;0.986429;1.500000;0.148248;5.000002;7.096995;5.263158;0.510436
65;19;1.078621;0.987434;1.500000;0.148935;5.000002;7.050543;5.263158;0.502555
66;19;1.084109;0.988419;1.500000;0.159925;5.000003;7.004403;5.263158;0.494844
67;19;1.085448;0.989385;1.500000;0.160533;5.000003;6.958561;5.263158;0.487031
68;19;1.086773;0.990332;1.500000;0.161139;5.000004;6.913004;5.263158;0.479400
69;19;1.088086;0.991258;1.500000;0.161743;5.000004;6.867718;5.263158;0.471950
70;19;1.089387;0.992165;1.500000;0.162343;5.000005;6.822691;5.263158;0.464684
71;19;1.090676;0.993051;1.500000;0.162938;5.000006;6.777912;5.263158;0.457602
72;19;1.091955;0.993918;1.500000;0.163527;5.000007;6.733371;5.263158;0.450707
73;19;1.093224;0.994766;1.500000;0.164110;5.000009;6.689056;5.263158;0.444001
74;19;1.094482;0.995593;1.500000;0.164687;5.000010;6.644958;5.263158;0.437486
75;19;1.095732;0.996179;1.500000;0.165257;5.000012;6.601068;5.263158;0.431166
76;19;1.096973;0.996323;1.500000;0.165821;5.000015;6.557378;5.263158;0.425044
77;19;1.098205;0.996467;1.500000;0.166377;5.000017;6.513878;5.263158;0.419124
78;19;1.099429;0.996612;1.500000;0.166925;5.000020;6.470561;5.263158;0.413410
79;19;1.100645;0.996758;1.500000;0.167466;5.000024;6.427419;5.263158;0.407905
80;19;1.101854;0.996903;1.500000;0.168000;5.000028;6.384446;5.263158;0.402615
