step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
71;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
72;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
73;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
74;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
75;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
76;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
77;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
78;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
79;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
80;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
81;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
82;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
83;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
84;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
85;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
86;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
87;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
88;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
89;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
90;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
91;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
92;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
93;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
94;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
95;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
96;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
97;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
98;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
99;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
100;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
101;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
102;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
103;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
104;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
