step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
0;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
1;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
2;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
3;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
4;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
5;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
6;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
7;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
8;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
9;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
10;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
11;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
12;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
13;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
14;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
15;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
16;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
17;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
18;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
19;20;1.000000;1.000000;1.000000;0.000000;5.000000;5.000000;5.000000;0.000000
20;19;1.026316;1.000000;1.500000;0.111648;5.000000;10.000000;5.263158;1.116484
21;19;1.027632;1.000000;1.500000;0.111478;5.000000;9.950000;5.263158;1.104756
22;19;1.028947;1.000000;1.500000;0.111558;5.000000;9.900000;5.263158;1.093130
23;19;1.030263;1.000000;1.500000;0.111850;5.000000;9.850000;5.263158;1.081595
24;19;1.031579;1.000000;1.500000;0.112321;5.000000;9.800000;5.263158;1.070141
25;19;1.032895;1.000000;1.500000;0.112942;5.000000;9.750000;5.263158;1.058758
26;19;1.034211;1.000000;1.500000;0.113689;5.000000;9.700000;5.263158;1.047440
27;19;1.035526;1.000000;1.500000;0.114539;5.000000;9.650000;5.263158;1.036180
28;19;1.036842;1.000000;1.500000;0.115476;5.000000;9.600000;5.263158;1.024973
29;19;1.038158;1.000000;1.500000;0.116484;5.000000;9.550000;5.263158;1.013814
30;19;1.039474;1.000000;1.500000;0.117549;5.000000;9.500000;5.263158;1.002701
31;19;1.040789;1.000000;1.500000;0.118660;5.000000;9.450000;5.263158;0.991630
32;19;1.042105;1.000000;1.500000;0.119810;5.000000;9.400000;5.263158;0.980598
33;19;1.043421;1.000000;1.500000;0.120988;5.000000;9.350000;5.263158;0.969604
34;19;1.044737;1.000000;1.500000;0.122189;5.000000;9.300000;5.263158;0.958645
35;19;1.046053;1.000000;1.500000;0.123408;5.000000;9.250000;5.263158;0.947721
36;19;1.047368;1.000000;1.500000;0.124638;5.000000;9.200000;5.263158;0.936830
37;19;1.048684;1.000000;1.500000;0.125877;5.000000;9.150000;5.263158;0.925972
38;19;1.050000;1.000000;1.500000;0.127121;5.000000;9.100000;5.263158;0.915146
39;19;1.051316;1.000000;1.500000;0.128367;5.000000;9.050000;5.263158;0.904351
40;19;1.052632;1.000000;1.500000;0.129612;5.000000;9.000000;5.263158;0.893588
41;19;1.053947;1.000000;1.500000;0.130855;5.000000;8.950000;5.263158;0.882856
42;19;1.055263;1.000000;1.500000;0.132094;5.000000;8.900000;5.263158;0.872155
43;19;1.056579;1.000000;1.500000;0.133327;5.000000;8.850000;5.263158;0.861486
44;19;1.057895;1.000000;1.500000;0.134554;5.000000;8.800000;5.263158;0.850848
45;19;1.059211;1.000000;1.500000;0.135772;5.000000;8.750000;5.263158;0.840243
46;19;1.060526;1.000000;1.500000;0.136981;5.000000;8.700000;5.263158;0.829670
47;19;1.061842;1.000000;1.500000;0.138181;5.000000;8.650000;5.263158;0.819130
48;19;1.063158;1.000000;1.500000;0.139371;5.000000;8.600000;5.263158;0.808625
49;19;1.064474;1.000000;1.500000;0.140550;5.000000;8.550000;5.263158;0.798155
50;19;1.065789;1.000000;1.500000;0.141719;5.000000;8.500000;5.263158;0.787720
51;19;1.067105;1.000000;1.500000;0.142875;5.000000;8.450000;5.263158;0.777322
52;19;1.068421;1.000000;1.500000;0.144020;5.000000;8.400000;5.263158;0.766962
53;19;1.069737;1.000000;1.500000;0.145153;5.000000;8.350000;5.263158;0.756641
54;19;1.071053;1.000000;1.500000;0.146274;5.000000;8.300000;5.263158;0.746360
55;19;1.072368;1.000000;1.500000;0.147383;5.000000;8.250000;5.263158;0.736120
56;19;1.073684;1.000000;1.500000;0.148479;5.000000;8.200000;5.263158;0.725924
57;19;1.075000;1.000000;1.500000;0.149563;5.000000;8.150000;5.263158;0.715772
58;19;1.076316;1.000000;1.500000;0.150634;5.000000;8.100000;5.263158;0.705666
59;19;1.077632;1.000000;1.500000;0.151693;5.000000;8.050000;5.263158;0.695609
60;19;1.078947;1.000000;1.500000;0.152739;5.000000;8.000000;5.263158;0.685601
61;19;1.080263;1.000000;1.500000;0.153773;5.000000;7.950000;5.263158;0.675645
62;19;1.081579;1.000000;1.500000;0.154794;5.000000;7.900000;5.263158;0.665743
63;19;1.082895;1.000000;1.500000;0.155803;5.000000;7.850000;5.263158;0.655897
64;19;1.084211;1.000000;1.500000;0.156799;5.000000;7.800000;5.263158;0.646110
65;19;1.085526;1.000000;1.500000;0.157783;5.000000;7.750000;5.263158;0.636383
66;19;1.086842;1.000000;1.500000;0.158755;5.000000;7.700000;5.263158;0.626721
67;19;1.088158;1.000000;1.500000;0.159714;5.000000;7.650000;5.263158;0.617125
68;19;1.089474;1.000000;1.500000;0.160661;5.000000;7.600000;5.263158;0.607598
69;19;1.090789;1.000000;1.500000;0.161596;5.000000;7.550000;5.263158;0.598145
70;19;1.092105;1.000000;1.500000;0.162519;5.000000;7.500000;5.263158;0.588767
71;19;1.093421;1.000000;1.500000;0.163430;5.000000;7.450000;5.263158;0.579469
72;19;1.094737;1.000000;1.500000;0.164329;5.000000;7.400000;5.263158;0.570254
73;19;1.096053;1.000000;1.500000;0.165216;5.000000;7.350000;5.263158;0.561127
74;19;1.097368;1.000000;1.500000;0.166091;5.000000;7.300000;5.263158;0.552091
75;19;1.098684;1.000000;1.500000;0.166955;5.000000;7.250000;5.263158;0.543152
76;19;1.100000;1.000000;1.500000;0.167807;5.000000;7.200000;5.263158;0.534313
77;19;1.101316;1.000000;1.500000;0.168648;5.000000;7.150000;5.263158;0.525579
78;19;1.102632;1.000000;1.500000;0.169477;5.000000;7.100000;5.263158;0.516957
79;19;1.103947;1.000000;1.500000;0.170295;5.000000;7.050000;5.263158;0.508451
80;19;1.105263;1.000000;1.500000;0.171102;5.000000;7.000000;5.263158;0.500067
