step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
62;19;1.072719;0.976858;1.500000;0.145418;5.000003;7.032286;5.263158;0.500671
63;19;1.074022;0.978384;1.500000;0.146046;5.000004;6.985743;5.263158;0.492889
64;19;1.080244;0.979882;1.500000;0.158791;5.000005;6.939610;5.263158;0.485301
65;19;1.081629;0.981350;1.500000;0.159344;5.000005;6.893868;5.263158;0.477545
66;19;1.082996;0.982789;1.500000;0.159900;5.000006;6.848498;5.263158;0.469993
67;19;1.084348;0.984199;1.500000;0.160455;5.000007;6.803484;5.263158;0.462644
68;19;1.085683;0.985579;1.500000;0.161009;5.000008;6.758810;5.263158;0.455499
69;19;1.087004;0.986930;1.500000;0.161559;5.000009;6.714461;5.263158;0.448558
70;19;1.088310;0.988251;1.500000;0.162105;5.000010;6.670423;5.263158;0.441822
71;19;1.089603;0.989542;1.500000;0.162646;5.000012;6.626681;5.263158;0.435292
72;19;1.090883;0.990805;1.500000;0.163181;5.000013;6.583224;5.263158;0.428971
73;19;1.092151;0.992038;1.500000;0.163710;5.000015;6.540039;5.263158;0.422861
74;19;1.093407;0.992772;1.500000;0.164233;5.000018;6.497116;5.263158;0.416963
75;19;1.094651;0.993027;1.500000;0.164749;5.000020;6.454442;5.263158;0.411282
76;19;1.095885;0.993283;1.500000;0.165258;5.000023;6.412009;5.263158;0.405820
77;19;1.097109;0.993541;1.500000;0.165761;5.000026;6.369806;5.263158;0.400580
78;19;1.098323;0.993800;1.500000;0.166256;5.000029;6.327824;5.263158;0.395567
79;19;1.099528;0.994060;1.500000;0.166744;5.000033;6.286054;5.263158;0.390782
80;19;1.100724;0.994320;1.500000;0.167226;5.000038;6.244488;5.263158;0.386230
81;19;1.101911;0.994581;1.500000;0.167700;5.000043;6.203118;5.263158;0.381915
82;19;1.103090;0.994841;1.500000;0.168167;5.000048;6.161937;5.263158;0.377840
83;19;1.104261;0.995100;1.500000;0.168627;5.000055;6.120937;5.263158;0.374009
84;19;1.105424;0.995359;1.500000;0.169081;5.000062;6.080112;5.263158;0.370425
85;19;1.106581;0.995617;1.500000;0.169528;5.000070;6.039455;5.263158;0.367092
86;19;1.099769;0.995874;1.500000;0.154221;5.000079;6.004922;5.263158;0.364012
87;19;1.092105;0.996129;1.400599;0.135535;5.000089;5.997379;5.263158;0.361121
88;19;1.092105;0.996383;1.395890;0.134209;5.000100;5.991848;5.263158;0.358315
89;19;1.092105;0.996635;1.391583;0.132964;5.000112;5.987168;5.263158;0.355616
90;19;1.092105;0.996884;1.387609;0.131788;5.000126;5.984122;5.263158;0.353010
91;19;1.092105;0.997129;1.383911;0.130669;5.000141;5.980100;5.263158;0.350486
92;19;1.092105;0.997371;1.380437;0.129600;5.000158;5.975218;5.263158;0.348035
93;19;1.092105;0.997609;1.377145;0.128573;5.000177;5.970000;5.263158;0.345649
94;19;1.092105;0.997842;1.373997;0.127583;5.000197;5.966214;5.263158;0.343323
95;19;1.092105;0.998070;1.370963;0.126626;5.000220;5.962485;5.263158;0.341051
96;19;1.092105;0.998293;1.368017;0.125698;5.000244;5.958772;5.263158;0.338830
97;19;1.092105;0.998511;1.365136;0.124796;5.000272;5.955039;5.263158;0.336655
98;19;1.092105;0.998583;1.362302;0.123917;5.000302;5.951260;5.263158;0.334524
99;19;1.092105;0.998631;1.359500;0.123061;5.000334;5.947410;5.263158;0.332433
100;19;1.092105;0.998680;1.356718;0.122224;5.000370;5.943472;5.263158;0.330382
101;19;1.092105;0.998729;1.353945;0.121406;5.000409;5.939432;5.263158;0.328367
102;19;1.092105;0.998778;1.351173;0.120605;5.000451;5.935277;5.263158;0.326388
103;19;1.092105;0.998827;1.348395;0.119820;5.000474;5.931000;5.263158;0.324442
104;19;1.092105;0.998876;1.345607;0.119051;5.000498;5.926596;5.263158;0.322528
105;19;1.092105;0.998925;1.342804;0.118296;5.000525;5.922060;5.263158;0.320644
106;19;1.092105;0.998973;1.339985;0.117555;5.000552;5.917391;5.263158;0.318791
