perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
100.000000,24,1.000000,2.000000,6.000000,5.000000,0,0.850000,1.800000,10.000000,0.500000,1,0,0.875000,87.500000,2.000000,0.000000,95.000000,85.714286,21.000000,0.058333,42.000000,0.000000,0.000000
100.000000,26,1.000000,2.000000,6.000000,5.000000,5,0.850000,1.800000,10.000000,0.500000,1,0,0.884615,88.461538,2.000000,0.000000,95.000000,86.956522,23.000000,0.057500,46.000000,0.000000,0.000000
500.000000,600,1.000000,2.000000,8.000000,5.000000,0,0.850000,1.800000,10.000000,0.500000,12,0,0.850000,85.000000,2.000000,0.000000,495.000000,475.490196,510.000000,0.010515,1020.000000,0.000000,0.000000
500.000000,650,1.000000,2.000000,8.000000,5.000000,5,0.850000,1.800000,10.000000,0.500000,12,0,0.850769,85.076923,2.000000,0.000000,495.000000,442.133816,553.000000,0.011309,1106.000000,0.000000,0.000000
8000.000000,9600,1.000000,2.000000,8.000000,4.000000,1,0.850000,1.800000,10.000000,0.500000,50,0,0.850000,85.000000,1.988848,0.138147,7996.000000,7809.803922,8160.000000,0.000512,16229.000000,0.000000,0.000000
8000.000000,10400,1.000000,2.000000,8.000000,4.000000,5,0.850000,1.800000,10.000000,0.500000,50,0,0.850000,85.000000,1.965611,0.227483,7996.000000,7258.823529,8840.000000,0.000551,17376.000000,0.000000,0.000000
24000.000000,11000,1.000000,2.000000,6.000000,3.000000,1,0.850000,1.800000,10.000000,0.500000,60,0,0.903636,90.363636,2.000000,0.000000,23997.000000,23995.171026,9940.000000,0.000125,19880.000000,0.000000,0.000000
24000.000000,15000,1.000000,2.000000,6.000000,3.000000,5,0.850000,1.800000,10.000000,0.500000,60,0,0.850000,85.000000,1.907686,0.361265,23997.000000,19243.294118,12750.000000,0.000156,24323.000000,0.000000,0.000000
