perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,seed,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
48000.000000,14400,1.000000,2.000000,6.000000,4.000000,2,0.850000,1.800000,10.000000,1.000000,3600,2,1403,0.850000,85.000000,1.862458,0.501531,47998.845000,41286.274183,12240.000000,0.000097,22796.484202,0.000000,0.000000
48000.000000,14400,1.000000,2.000000,6.000000,4.000000,3,0.850000,1.800000,10.000000,1.000000,4800,2,1404,0.850000,85.000000,1.854544,0.514560,47996.000000,41192.156536,12240.000000,0.000097,22699.618857,0.000000,0.000000
48000.000000,14400,1.000000,2.000000,6.000000,4.000000,4,0.850000,1.800000,10.000000,1.000000,6000,2,1405,0.850000,85.000000,1.857754,0.508478,47996.695000,41262.745490,12240.000000,0.000097,22738.910201,0.000000,0.000000
48000.000000,15600,1.000000,2.000000,6.000000,4.000000,5,0.850000,1.800000,10.000000,1.000000,1200,2,1406,0.850000,85.000000,1.877828,0.460677,47996.000000,39913.122172,13260.000000,0.000100,24900.000001,0.000000,0.000000
500.000000,130,1.000000,2.000000,8.000000,5.000000,0,0.920000,1.800000,10.000000,1.000000,30,0,2101,0.923077,92.307692,2.000000,0.000000,495.000000,308.333333,120.000000,0.016216,240.000000,0.000000,0.000000
500.000000,130,1.000000,2.000000,8.000000,5.000000,1,0.920000,1.800000,10.000000,1.000000,30,1,2102,0.923077,92.307692,2.000000,0.000000,495.000000,304.166667,120.000000,0.016438,240.000000,0.000000,0.000000
5000.000000,1300,1.000000,2.000000,8.000000,5.000000,0,0.920000,1.800000,10.000000,1.000000,300,0,2201,0.920000,92.000000,1.802013,0.565453,4995.000000,3193.979933,1196.000000,0.001565,2155.207820,0.000000,0.000000
5000.000000,1300,1.000000,2.000000,8.000000,5.000000,1,0.920000,1.800000,10.000000,1.000000,300,1,2202,0.920000,92.000000,1.795830,0.571310,4998.097195,3177.257525,1196.000000,0.001574,2147.812833,0.000000,0.000000
40000.000000,13000,1.000000,2.000000,8.000000,4.000000,0,0.920000,1.800000,10.000000,1.000000,3000,0,2301,0.920000,92.000000,1.668424,0.703726,39996.000000,25535.117057,11960.000000,0.000157,19954.346718,0.000000,0.000000
40000.000000,13000,1.000000,2.000000,8.000000,4.000000,1,0.920000,1.800000,10.000000,1.000000,3000,1,2302,0.920000,92.000000,1.681122,0.692390,39996.000000,25518.394649,11960.000000,0.000157,20106.221092,0.000000,0.000000
