perimeter,num_drones,v_nominal,v_max,sensing_radius,nominal_spacing,balancing_policy,density_threshold,speed_threshold,adaptation_window,failure_rate,num_failures,failure_distribution,seed,density,coverage,avg_speed,speed_stddev,max_gap,avg_gap,drones_active,formation_stability,energy_consumed,time_to_recover,recovery_slope
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,13,0,5028,0.909091,90.909091,1.500000,0.000000,120.000000,70.833333,30.000000,0.070588,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,13,0,5029,0.909091,90.909091,1.500000,0.000000,123.940000,79.166667,30.000000,0.063158,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,13,0,5030,0.909091,90.909091,1.500000,0.000000,123.320000,75.000000,30.000000,0.066667,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,3,1,5031,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,3,1,5032,0.909091,90.909091,1.500000,0.000000,120.000000,95.833333,30.000000,0.052174,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,3,1,5033,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,3,1,5034,0.909091,90.909091,1.500000,0.000000,122.249297,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,3,1,5035,0.909091,90.909091,1.500000,0.000000,120.000000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,3,1,5036,0.909091,90.909091,1.500000,0.000000,123.945000,100.000000,30.000000,0.050000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,5,1,5037,0.909091,90.909091,1.500000,0.000000,120.000000,95.833333,30.000000,0.052174,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,5,1,5038,0.909091,90.909091,1.500000,0.000000,120.000000,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,5,1,5039,0.909091,90.909091,1.500000,0.000000,120.000000,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,5,1,5040,0.909091,90.909091,1.500000,0.000000,120.000000,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,5,1,5041,0.909091,90.909091,1.500000,0.000000,120.000000,87.500000,30.000000,0.057143,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,5,1,5042,0.909091,90.909091,1.500000,0.000000,120.000000,87.500000,30.000000,0.057143,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,8,1,5043,0.909091,90.909091,1.500000,0.000000,124.342500,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,8,1,5044,0.909091,90.909091,1.500000,0.000000,120.000000,95.833333,30.000000,0.052174,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,8,1,5045,0.909091,90.909091,1.500000,0.000000,123.945000,87.500000,30.000000,0.057143,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,8,1,5046,0.909091,90.909091,1.500000,0.000000,120.249297,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,8,1,5047,0.909091,90.909091,1.500000,0.000000,121.285000,87.500000,30.000000,0.057143,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,8,1,5048,0.909091,90.909091,1.500000,0.000000,121.540000,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,10,1,5049,0.909091,90.909091,1.500000,0.000000,120.000000,75.000000,30.000000,0.066667,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,10,1,5050,0.909091,90.909091,1.500000,0.000000,120.000000,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,10,1,5051,0.909091,90.909091,1.500000,0.000000,120.000000,91.666667,30.000000,0.054545,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,10,1,5052,0.909091,90.909091,1.500000,0.000000,120.000000,87.500000,30.000000,0.057143,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,4,0.900000,1.800000,10.000000,1.000000,10,1,5053,0.909091,90.909091,1.500000,0.000000,121.242500,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,5,0.900000,1.800000,10.000000,1.000000,10,1,5054,0.909091,90.909091,1.500000,0.000000,120.000000,75.000000,30.000000,0.066667,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,0,0.900000,1.800000,10.000000,1.000000,13,1,5055,0.909091,90.909091,1.500000,0.000000,120.000000,75.000000,30.000000,0.066667,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,1,0.900000,1.800000,10.000000,1.000000,13,1,5056,0.909091,90.909091,1.500000,0.000000,124.080000,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,2,0.900000,1.800000,10.000000,1.000000,13,1,5057,0.909091,90.909091,1.500000,0.000000,120.000000,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
125.000000,33,1.000000,1.500000,10.000000,5.000000,3,0.900000,1.800000,10.000000,1.000000,13,1,5058,0.909091,90.909091,1.500000,0.000000,123.945000,83.333333,30.000000,0.060000,45.000000,0.000000,0.000000
