step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
62;20;1.027863;0.820390;1.500000;0.119282;4.059491;6.079352;5.000000;0.351537
63;20;1.028774;0.836383;1.500000;0.118054;4.082291;6.117907;5.000000;0.351955
64;20;1.029644;0.851314;1.500000;0.117006;4.103193;6.156044;5.000000;0.353532
65;20;1.030476;0.865272;1.500000;0.116116;4.122334;6.193771;5.000000;0.356172
66;20;1.031273;0.878338;1.500000;0.115364;4.139840;6.231096;5.000000;0.359780
67;20;1.032038;0.890584;1.500000;0.114731;4.155825;6.268027;5.000000;0.364262
68;20;1.032772;0.902073;1.500000;0.114204;4.170395;6.304572;5.000000;0.369531
69;20;1.033477;0.912863;1.500000;0.113769;4.183646;6.340739;5.000000;0.375505
70;20;1.034156;0.923006;1.500000;0.113415;4.195666;6.376536;5.000000;0.382108
71;20;1.034810;0.932548;1.500000;0.113130;4.206538;6.411971;5.000000;0.389268
72;20;1.035441;0.941532;1.500000;0.112907;4.216337;6.447052;5.000000;0.396923
73;20;1.036050;0.949996;1.500000;0.112737;4.225134;6.481786;5.000000;0.405015
74;20;1.036638;0.957973;1.500000;0.112615;4.232993;6.516181;5.000000;0.413491
75;20;1.037206;0.965496;1.500000;0.112532;4.239976;6.550245;5.000000;0.422306
76;20;1.037756;0.972593;1.500000;0.112486;4.246138;6.583985;5.000000;0.431417
77;20;1.038289;0.979290;1.500000;0.112470;4.251533;6.617408;5.000000;0.440787
78;20;1.038805;0.985610;1.500000;0.112481;4.256209;6.650521;5.000000;0.450385
79;20;1.039305;0.991575;1.500000;0.112515;4.260213;6.683332;5.000000;0.460181
80;20;1.039789;0.997204;1.500000;0.112569;4.263588;6.715846;5.000000;0.470151
81;20;1.040262;1.000000;1.500000;0.112639;4.241004;6.748071;5.000000;0.480271
82;20;1.040738;1.000000;1.500000;0.112720;4.191260;6.780014;5.000000;0.490522
83;20;1.041218;1.000000;1.500000;0.112810;4.142054;6.811680;5.000000;0.500886
84;20;1.041703;1.000000;1.500000;0.112910;4.093395;6.843076;5.000000;0.511347
85;20;1.042192;1.000000;1.500000;0.113020;4.045289;6.874209;5.000000;0.521891
86;20;1.042685;1.000000;1.500000;0.113141;3.997742;6.905083;5.000000;0.532502
87;20;1.043182;1.000000;1.500000;0.113274;3.950757;6.935705;5.000000;0.543169
88;20;1.043681;1.000000;1.500000;0.113417;3.904340;6.966080;5.000000;0.553881
89;20;1.044182;1.000000;1.500000;0.113571;3.858493;6.996214;5.000000;0.564627
90;20;1.044686;1.000000;1.500000;0.113736;3.813217;7.026113;5.000000;0.575397
91;20;1.045191;1.000000;1.500000;0.113913;3.768514;7.055780;5.000000;0.586182
92;20;1.045698;1.000000;1.500000;0.114101;3.724385;7.085223;5.000000;0.596977
93;20;1.046205;1.000000;1.500000;0.114299;3.680828;7.114444;5.000000;0.607772
94;20;1.001485;0.307478;1.500000;0.192413;3.637843;7.143450;5.000000;0.618562
95;20;1.003978;0.363069;1.500000;0.182379;3.714680;7.024198;5.000000;0.592247
96;20;1.006283;0.413376;1.500000;0.173590;3.784776;6.910505;5.000000;0.568214
97;20;1.008418;0.459070;1.500000;0.165882;3.848822;6.801843;5.000000;0.546306
98;20;1.010403;0.500717;1.500000;0.159117;3.907417;6.697750;5.000000;0.526391
99;20;1.012253;0.538794;1.500000;0.153176;3.961081;6.597821;5.000000;0.508355
100;20;1.013981;0.573709;1.500000;0.147959;4.010268;6.501701;5.000000;0.492098
101;20;1.015600;0.605811;1.500000;0.143377;4.055379;6.409072;5.000000;0.477534
102;20;1.017120;0.635400;1.500000;0.139354;4.096765;6.319653;5.000000;0.464585
103;20;1.018550;0.662737;1.500000;0.135824;4.134739;6.233193;5.000000;0.453180
104;20;1.019898;0.688049;1.500000;0.132729;4.169582;6.149467;5.000000;0.443254
105;20;1.021172;0.711533;1.500000;0.130017;4.201541;6.068272;5.000000;0.434742
106;20;1.022377;0.733363;1.500000;0.127644;4.230841;6.092746;5.000000;0.427584
107;20;1.023520;0.753691;1.500000;0.125571;4.251281;6.131568;5.000000;0.421718
108;20;1.024603;0.772653;1.500000;0.123762;4.254174;6.169963;5.000000;0.417084
109;20;1.025631;0.790367;1.500000;0.122187;4.257253;6.207940;5.000000;0.413619
110;20;1.026608;0.806940;1.500000;0.120820;4.260497;6.245505;5.000000;0.411262
111;20;1.027540;0.822465;1.500000;0.119636;4.263883;6.282669;5.000000;0.409951
112;20;1.028430;0.837027;1.500000;0.118612;4.267393;6.319438;5.000000;0.409622
113;20;1.029281;0.850704;1.500000;0.117732;4.271005;6.355822;5.000000;0.410214
114;20;1.030096;0.863563;1.500000;0.116977;4.274703;6.391827;5.000000;0.411664
115;20;1.030879;0.875667;1.500000;0.116333;4.278470;6.427462;5.000000;0.413913
116;20;1.031631;0.887071;1.500000;0.115787;4.282291;6.462736;5.000000;0.416901
117;20;1.032355;0.897826;1.500000;0.115326;4.286149;6.497655;5.000000;0.420571
118;20;1.033053;0.907979;1.500000;0.114942;4.290033;6.532228;5.000000;0.424870
