step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
62;20;1.025228;1.000000;1.347334;0.077853;3.505111;6.328622;5.000000;0.456536
63;20;1.025165;1.000000;1.361465;0.080610;3.509471;6.299570;5.000000;0.453291
64;20;1.025103;1.000000;1.374729;0.083376;3.515650;6.267426;5.000000;0.449599
65;20;1.025042;1.000000;1.387154;0.086107;3.523531;6.232379;5.000000;0.445543
66;20;1.025108;0.995724;1.398770;0.088737;3.532997;6.194615;5.000000;0.441210
67;20;1.025178;0.982886;1.409603;0.091278;3.543937;6.154310;5.000000;0.436670
68;20;1.025251;0.970965;1.419681;0.093711;3.556239;6.111639;5.000000;0.432004
69;20;1.025329;0.959932;1.429031;0.096023;3.569798;6.066767;5.000000;0.427293
70;20;1.025410;0.949758;1.437678;0.098204;3.584508;6.019857;5.000000;0.422619
71;20;1.025495;0.940416;1.445650;0.100246;3.600269;5.971065;5.000000;0.418061
72;20;1.025583;0.931878;1.452970;0.102146;3.616983;5.920542;5.000000;0.413698
73;20;1.025674;0.924115;1.459664;0.103902;3.634554;5.868432;5.000000;0.409606
74;20;1.025769;0.917099;1.465755;0.105513;3.652891;5.843954;5.000000;0.405858
75;20;1.025866;0.910803;1.471267;0.106979;3.671905;5.888001;5.000000;0.402523
76;20;1.025966;0.905201;1.476224;0.108304;3.691510;5.932288;5.000000;0.399666
77;20;1.026069;0.900265;1.480647;0.109489;3.711624;5.976754;5.000000;0.397346
78;20;1.026175;0.895968;1.484559;0.110538;3.732168;6.021341;5.000000;0.395617
79;20;1.026283;0.892285;1.487981;0.111456;3.753064;6.065994;5.000000;0.394525
80;20;1.026392;0.889190;1.490933;0.112245;3.774240;6.110658;5.000000;0.394106
81;20;1.026504;0.886658;1.493438;0.112911;3.795626;6.155284;5.000000;0.394390
82;20;1.026618;0.884663;1.495514;0.113459;3.817155;6.199823;5.000000;0.395398
83;20;1.026733;0.883181;1.497180;0.113894;3.838762;6.244229;5.000000;0.397140
84;20;1.026850;0.882189;1.498457;0.114222;3.860386;6.288459;5.000000;0.399618
85;20;1.026968;0.881662;1.499361;0.114446;3.881969;6.332472;5.000000;0.402826
86;20;1.027087;0.881578;1.499911;0.114573;3.903457;6.376228;5.000000;0.406750
87;20;1.027201;0.881914;1.500000;0.114583;3.924796;6.419692;5.000000;0.411368
88;20;1.027322;0.882648;1.499900;0.114533;3.945937;6.462814;5.000000;0.416651
89;20;1.027443;0.883758;1.499497;0.114402;3.966833;6.505577;5.000000;0.422568
90;20;1.027565;0.885224;1.498805;0.114195;3.987440;6.547948;5.000000;0.429083
91;20;1.027687;0.887024;1.497842;0.113917;4.007717;6.589901;5.000000;0.436155
92;20;1.027691;0.889140;1.496621;0.113516;4.027624;6.631407;5.000000;0.443743
93;20;1.027835;0.891550;1.495158;0.113037;4.046890;6.672443;5.000000;0.451816
94;20;1.027985;0.894234;1.493466;0.112515;4.065505;6.712985;5.000000;0.460312
95;20;1.028260;0.899522;1.491559;0.111818;4.083464;6.753011;5.000000;0.469186
96;20;1.028514;0.904546;1.489451;0.111120;4.100524;6.792503;5.000000;0.478404
97;20;1.028750;0.909319;1.487156;0.110422;4.116732;6.831442;5.000000;0.487916
98;20;1.028968;0.913853;1.484687;0.109722;4.132129;6.869813;5.000000;0.497678
99;20;1.028734;0.918160;1.447518;0.103071;4.146757;6.907600;5.000000;0.507649
100;20;1.028500;0.922252;1.411787;0.097338;4.160653;6.938751;5.000000;0.516459
101;20;1.028265;0.926140;1.377474;0.092549;4.173854;6.963540;5.000000;0.524112
102;20;1.028031;0.929833;1.344558;0.088713;4.173665;6.982235;5.000000;0.530628
103;20;1.027799;0.933341;1.313015;0.085821;4.132193;6.995099;5.000000;0.536036
104;20;1.027569;0.936674;1.282824;0.083838;4.094225;7.002392;5.000000;0.540378
105;20;1.027341;0.939840;1.284965;0.082708;4.059610;7.004365;5.000000;0.543699
106;20;1.027117;0.942848;1.305723;0.082349;4.028198;7.001264;5.000000;0.546054
107;20;1.026897;0.945706;1.325403;0.082667;3.999844;6.993331;5.000000;0.547498
108;20;1.026681;0.948420;1.344037;0.083557;3.974403;6.980802;5.000000;0.548094
109;20;1.026469;0.950999;1.361655;0.084914;3.951738;6.963905;5.000000;0.547905
110;20;1.026262;0.953449;1.378286;0.086639;3.931713;6.942865;5.000000;0.547000
111;20;1.026060;0.955777;1.393961;0.088639;3.914194;6.917900;5.000000;0.545445
112;20;1.025998;0.957988;1.408710;0.090799;3.899053;6.889223;5.000000;0.543313
113;20;1.025944;0.960089;1.422559;0.093091;3.886164;6.857040;5.000000;0.540661
114;20;1.025899;0.962084;1.435539;0.095458;3.875405;6.821552;5.000000;0.537558
115;20;1.025864;0.963980;1.447677;0.097853;3.866657;6.782954;5.000000;0.534075
116;20;1.025838;0.965781;1.459000;0.100238;3.859804;6.741437;5.000000;0.530282
117;20;1.025822;0.967492;1.469536;0.102580;3.854735;6.697184;5.000000;0.526250
118;20;1.025690;0.969117;1.479311;0.104843;3.851341;6.650374;5.000000;0.522050
119;20;1.025576;0.970662;1.488352;0.107024;3.849516;6.601180;5.000000;0.517763
120;20;1.025478;0.962027;1.496683;0.109107;3.849158;6.549769;5.000000;0.513457
121;20;1.025180;0.950695;1.500000;0.110147;3.850168;6.496303;5.000000;0.509201
122;20;1.024765;0.940215;1.500000;0.110503;3.852451;6.441373;5.000000;0.505080
123;20;1.024396;0.930557;1.500000;0.110880;3.855914;6.385394;5.000000;0.501155
124;20;1.024071;0.921689;1.500000;0.111269;3.860468;6.328450;5.000000;0.497466
125;20;1.023789;0.913582;1.500000;0.111661;3.866029;6.270619;5.000000;0.494048
126;20;1.023548;0.906206;1.500000;0.112051;3.872515;6.211977;5.000000;0.490938
127;20;1.023346;0.899531;1.500000;0.112432;3.879845;6.208933;5.000000;0.488171
128;20;1.023181;0.893532;1.500000;0.112800;3.887946;6.253897;5.000000;0.485777
129;20;1.023051;0.888179;1.500000;0.113152;3.896743;6.298505;5.000000;0.483788
130;20;1.022955;0.883448;1.500000;0.113484;3.906169;6.342758;5.000000;0.482230
131;20;1.022891;0.879311;1.500000;0.113795;3.916155;6.386652;5.000000;0.481127
132;20;1.022858;0.875743;1.500000;0.114083;3.926639;6.430187;5.000000;0.480502
133;20;1.022854;0.872721;1.500000;0.114347;3.937558;6.473362;5.000000;0.480370
134;20;1.022877;0.870220;1.500000;0.114586;3.948856;6.516178;5.000000;0.480749
135;20;1.022927;0.868217;1.500000;0.114799;3.960474;6.558634;5.000000;0.481647
136;20;1.023001;0.866690;1.500000;0.114989;3.972361;6.600731;5.000000;0.483074
137;20;1.023099;0.865616;1.500000;0.115153;3.984466;6.642470;5.000000;0.485032
138;20;1.023220;0.864974;1.500000;0.115294;3.996739;6.683852;5.000000;0.487523
139;20;1.023361;0.864744;1.500000;0.115412;4.009134;6.724878;5.000000;0.490543
140;20;1.023522;0.864905;1.500000;0.115508;4.021608;6.765550;5.000000;0.494087
141;20;1.023701;0.865439;1.500000;0.115583;4.034118;6.805871;5.000000;0.498147
142;20;1.023898;0.866325;1.500000;0.115639;4.046625;6.845842;5.000000;0.502710
143;20;1.024112;0.867547;1.500000;0.115676;4.059091;6.885466;5.000000;0.507764
144;20;1.024341;0.869085;1.500000;0.115697;4.071480;6.924745;5.000000;0.513292
145;20;1.024584;0.870924;1.500000;0.115702;4.083757;6.963684;5.000000;0.519278
146;20;1.024831;0.873045;1.499812;0.115655;4.095892;7.002284;5.000000;0.525702
147;20;1.025076;0.875434;1.499319;0.115533;4.107853;7.040530;5.000000;0.532542
148;20;1.024852;0.878074;1.463147;0.109465;4.119612;7.078396;5.000000;0.539771
149;20;1.024642;0.880933;1.428335;0.104242;4.131141;7.109708;5.000000;0.546155
150;20;1.024446;0.883978;1.394865;0.099872;4.142418;7.134735;5.000000;0.551671
151;20;1.024262;0.887182;1.362717;0.096354;4.153422;7.153737;5.000000;0.556311
152;20;1.024205;0.892823;1.331874;0.093503;4.164136;7.166972;5.000000;0.560082
153;20;1.024140;0.898182;1.302314;0.091479;4.174314;7.174691;5.000000;0.563010
154;20;1.024068;0.903272;1.299817;0.090226;4.183983;7.177140;5.000000;0.565117
155;20;1.023991;0.908109;1.320699;0.089675;4.193168;7.174560;5.000000;0.566434
156;20;1.023909;0.912703;1.340500;0.089745;4.201894;7.167187;5.000000;0.567001
157;20;1.023823;0.917068;1.359251;0.090346;4.210184;7.155250;5.000000;0.566861
158;20;1.023735;0.921215;1.376984;0.091390;4.218060;7.138974;5.000000;0.566065
