step;alive;mean_v;min_v;max_v;std_v;min_gap;max_gap;mean_gap;std_gap
62;20;1.027565;0.847963;1.500000;0.116367;3.935542;5.968918;5.000000;0.350581
63;20;1.028098;0.856670;1.500000;0.115746;3.957405;6.010377;5.000000;0.349566
64;20;1.028626;0.865177;1.500000;0.115175;3.978143;6.051496;5.000000;0.349625
65;20;1.029147;0.873490;1.500000;0.114650;3.997792;6.092282;5.000000;0.350716
66;20;1.029662;0.881614;1.500000;0.114170;4.016384;6.132741;5.000000;0.352789
67;20;1.030172;0.889555;1.500000;0.113732;4.033950;6.172878;5.000000;0.355788
68;20;1.030677;0.897316;1.500000;0.113334;4.050521;6.212699;5.000000;0.359653
69;20;1.031176;0.904904;1.500000;0.112973;4.066128;6.252210;5.000000;0.364325
70;20;1.031457;0.912322;1.495758;0.111767;4.080798;6.291417;5.000000;0.369741
71;20;1.031649;0.919532;1.489924;0.110263;4.094561;6.329900;5.000000;0.375758
72;20;1.031838;0.926525;1.484220;0.108816;4.107447;6.367509;5.000000;0.382274
73;20;1.032021;0.933306;1.478643;0.107424;4.119488;6.404269;5.000000;0.389221
74;20;1.032201;0.939882;1.473190;0.106086;4.130717;6.440203;5.000000;0.396536
75;20;1.032377;0.946260;1.467856;0.104798;4.141162;6.475333;5.000000;0.404164
76;20;1.032548;0.952445;1.462640;0.103560;4.150852;6.509680;5.000000;0.412053
77;20;1.032716;0.958443;1.457539;0.102368;4.159815;6.543267;5.000000;0.420158
78;20;1.032881;0.964260;1.452548;0.101221;4.168078;6.576113;5.000000;0.428438
79;20;1.033041;0.969902;1.447665;0.100117;4.175668;6.608239;5.000000;0.436859
80;20;1.033198;0.975374;1.442887;0.099054;4.182608;6.639664;5.000000;0.445388
81;20;1.033352;0.980680;1.438212;0.098031;4.188924;6.670407;5.000000;0.453999
82;20;1.033502;0.985827;1.433637;0.097045;4.194639;6.700485;5.000000;0.462665
83;20;1.033650;0.990819;1.429159;0.096095;4.199775;6.729917;5.000000;0.471366
84;20;1.033794;0.995660;1.424775;0.095181;4.204354;6.758720;5.000000;0.480084
85;20;1.033935;1.000000;1.420484;0.094299;4.204840;6.786910;5.000000;0.488801
86;20;1.034073;1.000000;1.416283;0.093449;4.162827;6.814504;5.000000;0.497505
87;20;1.034208;1.000000;1.412169;0.092629;4.121690;6.841517;5.000000;0.506182
88;20;1.034340;1.000000;1.408141;0.091838;4.081406;6.867964;5.000000;0.514823
89;20;1.034469;1.000000;1.404195;0.091076;4.041953;6.893862;5.000000;0.523417
